"Pos","Id_pl","Name","Surname","Country","Pts","Date"
28,37,"Marat","Safin","RUS",30,"1996-04-14"
28,40,"Leander","Paes","IND",30,"1996-04-14"
30,10,"Goran","Ivanisevic","CRO",28,"1996-04-14"
30,23,"Stefan","Edberg","SWE",28,"1996-04-14"
32,13,"Sergi","Bruguera","ESP",26,"1996-04-14"
32,20,"Wojciech","Kowalski","POL",26,"1996-04-14"
32,25,"Mark","Knowles","BAH",26,"1996-04-14"
32,35,"Nicolas","Periera","URG",26,"1996-04-14"
36,22,"Greg","Rusedski","GBR",9,"1996-04-14"
37,26,"Grant","Connell","CAN",2,"1996-04-14"
0,0,"A","B","c",0,"1971-01-01"
1,2,"Andre","Agassi","USA",1954,"1996-04-21"
2,3,"Boris","Becker","GER",1155,"1996-04-21"
3,7,"Yevgeny","Kafelnikow","RUS",1053,"1996-04-21"
4,8,"Mark","Philippoussis","AUS",1024,"1996-04-21"
5,4,"Wayne","Ferreira","RSA",1010,"1996-04-21"
6,36,"Carlos","Moya","ESP",879,"1996-04-21"
7,6,"Michael","Chang","USA",784,"1996-04-21"
8,5,"Thomas","Muster","AUT",626,"1996-04-21"
9,1,"Pete","Sampras","USA",622,"1996-04-21"
10,34,"Marcelo","Rios","CHI",516,"1996-04-21"
11,29,"Cedric","Pioline","FRA",466,"1996-04-21"
12,28,"Guy","Forget","FRA",400,"1996-04-21"
13,27,"Byron","Black","ZIM",369,"1996-04-21"
14,14,"Marc","Rosset","SUI",322,"1996-04-21"
15,12,"Richard","Krajicek","NED",303,"1996-04-21"
16,17,"Arnaud","Boetsch","FRA",234,"1996-04-21"
17,10,"Goran","Ivanisevic","CRO",210,"1996-04-21"
18,19,"Todd","Martin","USA",189,"1996-04-21"
19,16,"Michael","Stich","GER",166,"1996-04-21"
20,9,"Thomas","Enqvist","SWE",163,"1996-04-21"
21,33,"Javier","Frana","ARG",144,"1996-04-21"
22,18,"Andrei","Medvedev","UKR",127,"1996-04-21"
23,21,"Bartlomiej","Dabrowski","POL",123,"1996-04-21"
24,11,"Jim","Courier","USA",122,"1996-04-21"
25,31,"Kenneth","Carlsen","DEN",80,"1996-04-21"
26,30,"Alejandro","Hernandez","MEX",74,"1996-04-21"
27,15,"Andrea","Gaudenzi","ITA",73,"1996-04-21"
28,32,"Olivier","Rochus","BEL",34,"1996-04-21"
29,23,"Stefan","Edberg","SWE",30,"1996-04-21"
29,37,"Marat","Safin","RUS",30,"1996-04-21"
29,40,"Leander","Paes","IND",30,"1996-04-21"
32,35,"Nicolas","Periera","URG",28,"1996-04-21"
33,13,"Sergi","Bruguera","ESP",26,"1996-04-21"
